Serial No,Direct Sequencing or Culture,Clone
880264-18,Culture,
880264-18-1,Culture,
880264-18-2,Culture,
880264-18-3,Culture,
880264-19,Culture,
880264-19-1,Culture,
880264-19.2,Culture,
880264-20,Culture,
880264-20-1,Culture,
880264-20-2,Culture,
880264-21,Direct,
880264-22,Direct,
880264-22--2,Direct,Y
880264-23,Direct,
880264-24,Direct,
880264-25,Direct,
880264-26,Direct,
880264-27,Direct,
880264-28,Direct,
880264-29,Direct,
880264-30,Direct,
880264-31,Direct,
880264-32,Direct,
880264-33,Direct,
880264-34,Direct,
880264-35,Direct,
880264-36,Direct,
880264-37,Direct,
880264-38,Direct,
880264-39,Direct,
880264-40,Direct,
880264-41,Control,
880264-42,Control,
880323-01,Culture,
880323-02,Culture,
880323-03,Culture,
880323-04,Culture,
880323-05,Culture,
880323-06,Culture,
880323-07,Culture,
880323-07.2,Culture,
880323-08,Culture,
880323-09,Culture,
880323-10,Culture,
880323-11,Culture,
880323-12,Culture,
880323-13,Culture,
880323-14,Culture,
880323-15,Culture,
880323-16,Culture,
880323-17,Culture,
880323-18,Culture,
880323-18.2,Culture,
880323-19,Culture,
880323-20,Culture,
880323-21,Direct,
880323-22,Direct,
880323-22--01,Direct,Y
880323-22--02,Direct,Y
880323-22--03,Direct,Y
880323-22--04,Direct,Y
880323-22--05,Direct,Y
880323-22--06,Direct,Y
880323-22--07,Direct,Y
880323-22--08,Direct,Y
880323-22--09,Direct,Y
880323-22--10,Direct,Y
880323-22--11,Direct,Y
880323-22--12,Direct,Y
880323-23,Direct,
880323-24,Direct,
880323-25,Direct,
880323-26,Direct,
